Id Referencia,Descripcion producto,CANTIDAD,COSTO UNITARIO PROVEEDOR USD,COSTO UNITARIO PROVEEDRO MXN,GASTOS DE IMPORTACION TOTALES MXN,GASTOS ARANCELARIOS MXN,GASTOS LOGISTICOS MXN,COSTO TOTAL EN MEX,COSTO UNITARIO EN MEX,MARCA,CATEGORIA,% ARANCEL,% LOGISTICO,Date,Actual Delivery Date
40016-019-L,UTILI-T 3PK S/S T,5,24.0,484.68,1230.08,889.02,341.06,3653.46,730.69,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
12439ABR-019-5-R,5.11 A/T 6 SZ,24,76.8,1551.61,18901.95,13661.08,5240.87,56140.55,2339.19,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
74462ABR-724-42-32,FAST-TAC TDU PANT,12,25.6,515.88,3142.24,2271.01,871.24,9332.76,777.73,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
12439-019-5-R,5.11 A/T 6 SZ,2,78.4,1583.27,1607.31,1161.66,445.65,4773.85,2386.93,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
72479-992-2XL,FAST-TAC L/S SHIRT,16,25.6,515.88,4189.66,3028.01,1161.65,12443.68,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-L,FAST-TAC L/S SHIRT,36,25.6,515.88,9426.73,6813.02,2613.71,27998.27,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-M,FAST-TAC L/S SHIRT,48,25.6,515.88,12568.98,9084.03,3484.95,37331.03,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-S,FAST-TAC L/S SHIRT,1,25.5,515.78,261.80,189.21,72.59,777.58,777.58,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
72479-992-XL,FAST-TAC L/S SHIRT,42,25.6,515.88,10997.85,7948.52,3049.33,32664.65,777.73,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-30-L,MOTOR CYCLE BREECHES,2,81.6,1648.30,1673.32,1209.37,463.95,4969.92,2484.96,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
74407ABR-750-32-S,MOTOR CYCLE BREECHES,15,65.8,1329.53,10122.86,7316.13,2806.72,30065.83,2004.39,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
72002ABR-724-XS-R,RIPSTOP TDU L/S SHIRT,41,32.9,664.76,13834.53,9998.68,3835.84,41089.83,1002.19,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
12464ABR-120-6-R,SPEED 4.0 8 ARID,10,52.4,1057.40,5367.26,3879.10,1488.16,15941.25,1594.13,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
72565ABR-724-S-R,FLEX-TAC TDU RAPID LS,44,37.9,765.84,17104.19,12361.78,4742.41,50801.03,1154.57,5.11,CAMISAS,0.35,0.14,12/16/2024,12/30/2024
45502ABR-724-32-30,BIKE PATROL PANT,3,59.3,1197.35,1823.29,1317.75,505.54,5415.34,1805.11,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64359-724-4-L,WM RIPSTOP TDU PANT,1,32.9,664.81,337.45,243.89,93.56,1002.27,1002.27,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
64359-724-4-R,WM RIPSTOP TDU PANT,5,32.9,664.77,1687.16,1219.37,467.79,5011.02,1002.20,5.11,PANTALONES,0.35,0.14,12/16/2024,12/30/2024
40016-019-3XL,UTILI-T 3PK S/S T,2,26.5,535.57,543.70,392.95,150.75,1614.83,807.41,5.11,PLAYERAS,0.35,0.14,12/16/2024,12/30/2024
59394-019-XL,COMPETITION SHTG GLV 2.0,15,17.5,353.76,1859.14,1112.34,746.81,7165.53,477.70,5.11,GUANTES,0.20,0.14,12/16/2024,12/30/2024
12392ABR-019-11.5-R,ATAC 2.0 8 STORM,20,73.9,1492.80,15154.61,10952.75,4201.86,45010.60,2250.53,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
12392ABR-019-5-R,ATAC 2.0 8 STORM,6,73.9,1492.80,4546.38,3285.83,1260.56,13503.18,2250.53,5.11,CALZADO,0.35,0.14,12/16/2024,12/30/2024
