"Fecha elab","Piezas","Id Referencia","Descripcion producto","Tipo","Precio","Desc","Costo"
"02/01/2025","1","74520-134-30-32","RIDGE PANT KANGAROO 30 32","51LON","1965.52","15","1015.011143"
"02/01/2025","1","71215-098-M","MARKSMAN UTILITY S/S SHRT VOLCANIC M","51ISA","1405.17","15","631.462278"
"02/01/2025","1","72049-019-M","PERFORMANCE L/S POLO BLACK M","51ERA","1241.37","15","682.85854"
"02/01/2025","1","71049-018-M","PERFORMANCE S/S POLO CHARCOAL M","51ERA","1146.55","20","633.8426"
"02/01/2025","1","89381-190-1SZ","TACLITE UNIFORM CAP TDU GREEN 1 SZ","51GRA","413.79","0","287.315363"
"02/01/2025","1","50360ABR-019-1SZ","EXO.E EXTERNAL ELBOW PAD BLACK 1SZ","51IOS","594.83","0","318.829872"
"02/01/2025","1","71049-860-L","PERFORMANCE S/S POLO L.E. GREEN L","51ERA","1146.55","10","594.786304"
"02/01/2025","1","71049-477-L","PERFORMANCE S/S POLO RANGE RED L","51ERA","1146.55","10","555.43444"
"02/01/2025","1","74439A-724-42-32","FAST-TAC CARGO PANT DARK NAVY 42 32","51LON","1370.68","10","822.206468"
"02/01/2025","1","MSBL-08-R7","SlideLock 360 Magnetic Locking Dual Cara","NIIOS","223.28","10","122.609433"
"02/01/2025","1","56724-340-1SZ","STEEL JACKET MONEY CLIP BLK STN WSH 1SZ","51IOS","370.69","10","174.160355"
"02/01/2025","1","72479-019-L","FAST-TAC L/S SHIRT BLACK L","51ISA","1189.65","10","602.050705"
"02/01/2025","1","82063-460-1SZ","CANCER ZODIAC PATCH RED 1SZ","51CHE","155.17","10","91.7674"
"02/01/2025","1","40016-019-L","UTILI-T 3PK S/S T BLACK L","51ERA","1094.83","10","667.166979"
"02/01/2025","1","76054-019-L","WAKE N WITH BACON S/S TEE BLACK L","51ERA","461.2","10","267.8062"
"02/01/2025","1","76071-016-L","ALWAYS READY S/S TEE HEATHER GREY L","51ERA","461.2","10","267.8062"
"02/01/2025","1","56708-019-1SZ","HARDPOINT B150 BLACK 1SZ","51IOS","181.04","10","87.083017"
"02/01/2025","1","1A465050127","CALCETIN BOTA COMBATE TS NEGRO 8-10","CTTIN","112.07","10","61.253074"
