"Id Referencia ","Descripcion producto","Marca  ","Línea ","Existencias ","Costo promedio "
"325-27","CHOCLO 325 CHAROL ATACK NEGRO 27","GAMA","CALZA","0","980.0"
"325-22","CHOCLO 325 CHAROL ATACK NEGRO 22","GAMA","CALZA","0","980.0"
"325-22.5","CHOCLO 325 CHAROL ATACK NEGRO 22.5","GAMA","CALZA","0","980.0"
"325-23","CHOCLO 325 CHAROL ATACK NEGRO 23","GAMA","CALZA","0","980.0"
"325-24","CHOCLO 325 CHAROL ATACK NEGRO 24","GAMA","CALZA","0","980.0"
"325-24.5","CHOCLO 325 CHAROL ATACK NEGRO 24.5","GAMA","CALZA","0","980.0"
"325-25","CHOCLO 325 CHAROL ATACK NEGRO 25","GAMA","CALZA","0","980.0"
"325-25.5","CHOCLO 325 CHAROL ATACK NEGRO 25.5","GAMA","CALZA","0","980.0"
"325-26","CHOCLO 325 CHAROL ATACK NEGRO 26","GAMA","CALZA","0","980.0"
"325-26.5","CHOCLO 325 CHAROL ATACK NEGRO 26.5","GAMA","CALZA","0","980.0"
"325-27.5","CHOCLO 325 CHAROL ATACK NEGRO 27.5","GAMA","CALZA","0","980.0"
"325-28","CHOCLO 325 CHAROL ATACK NEGRO 28","GAMA","CALZA","0","980.0"
"325-28.5","CHOCLO 325 CHAROL ATACK NEGRO 28.5","GAMA","CALZA","0","980.0"
"325-29","CHOCLO 325 CHAROL ATACK NEGRO 29","GAMA","CALZA","0","980.0"
"325-30","CHOCLO 325 CHAROL ATACK NEGRO 30","GAMA","CALZA","0","980.0"
"325-31","CHOCLO 325 CHAROL ATACK NEGRO 31","GAMA","CALZA","0","980.0"
"MEX4400702410744","CALZADO DE SEGURIDAD CHAROL NEGRO","GAMA","CALZA","3","1095.0"
"MEX061341080407","BOTA DUTY GEAR 1583 COYOTE","DUTY GEAR","CALZA","2","560.0"
"PIBH-DUTY","BOTA DUTY GEAR NEGRA","DUTY GEAR","CALZA","2","560.0"
"MEX158302120811","BOTA DUTY GEAR 1583 NEGRA","DUTY GEAR","CALZA","7","560.0"
"486326","BOTA DUTY GEAR 4863 NEGRO 26","ALTEC","CALZA","0","725.0"
"MEX700607044142","TENIS CABALLERO CUERO COLOR BLANCO","PIRMA","CALZA","0","861.2"
"10035-019-L","3 PACK PT ANKLE SOCK BLACK L","5.11","CALCE","6","194.0"
"10035-010-L","3 PACK PT ANKLE SOCK WHITE L","5.11","CALCE","6","194.0"
"12001-019-10-R","ATAC 8'' BOOT W/SD ZIP BLACK 10 R","5.11","CALZA","1","1613.9"
"12110-120-7-R","ATAC 8"" SIDE ZIP COYOTE 7 R SP","5.11","CALZA","0","1088.0"
"12125","BASTON RETRACTIL FURY 26""","FURY","ACCES","2","418.0"
"12336-019-10-R","SPEED 3.0 URBAN BLACK 10 R","5.11","CALZA","2","1671.2"
"12336-019-10-W","SPEED 3.0 URBAN BLACK 10 W","5.11","CALZA","23","1355.0"
"12336-019-10.5-R","SPEED 3.0 URBAN BLACK 10.5 R","5.11","CALZA","0","1671.2"
"12336-019-11-W","SPEED 3.0 URBAN BLACK 11 W","5.11","CALZA","1","1414.5"
"12336-019-11.5-R","SPEED 3.0 URBAN BLACK 11.5 R","5.11","CALZA","1","1671.2"
