normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion,Existencias,coverage_days,low_stock_flag,stock_rotation,demanda_diaria_estimada,cantidad_a_importar,dias_hasta_proxima_importacion
1.5in low pro tdu belt black l,2,1189.66,728.446388,461.2136120000001,594.83,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
1.5in low pro tdu belt black m,4,2189.66,1388.271332,801.388668,547.415,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.044444444444444446,0.7903866555759963,212
1.5in low pro tdu belt black m,4,2189.66,1388.271332,801.388668,547.415,0,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.044444444444444446,0.7903866555759963,212
1.5in low pro tdu belt kangaroo m,2,1189.66,663.988522,525.6714780000001,594.83,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
2 banger double tap 1 sz,4,5482.72,3173.992904,2308.727096,1370.68,0,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.044444444444444446,0.7903866555759963,212
2 banger double tap 1sz,28,38379.32000000001,22217.950328000003,16161.369672,1370.69,3,,,,17.783699750459917,2024-12-01,,,,,0.3111111111111111,5.532706589031974,212
28 single rifle case black 1sz,2,3568.96,1859.634766,1709.325234,1784.48,1,,,,17.783699750459917,2024-12-01,,,,,0.022222222222222223,0.39519332778799815,212
3 pack pt ankle sock black l,2,775.86,387.923398,387.936602,387.93,0,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.022222222222222223,0.39519332778799815,212
3 pack pt ankle sock white l,2,775.86,387.923398,387.936602,387.93,0,,,,17.783699750459917,2024-12-01,6.0,1.2,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 6 dark coyote 10 r,2,6000.0,4332.81261,1667.18739,3000.0,1,,,,17.783699750459917,2024-12-01,4.0,0.8,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 6 dark coyote 7 r,2,7500.0,3806.015392,3693.984608,3750.0,1,,,,17.783699750459917,2024-12-01,3.0,0.6,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 6 dark coyote 7.5 r,2,7500.0,3624.738148,3875.261852,3750.0,1,,,,17.783699750459917,2024-12-01,2.0,0.4,1.0,,0.022222222222222223,0.39519332778799815,212
5.11 a/t 6 sz black 5 r,31,123664.58,72324.46806,51340.11194,3989.18,1,,,,17.783699750459917,2024-12-01,0.0,0.0,1.0,,0.34444444444444444,6.125496580713971,212
