normalized_description,cantidad_total_importada,costo_unitario_promedio_import,gastos_logisticos_promedio,tiempo_promedio_entrega,ultima_fecha_importacion
1.5in low pro tdu belt,69,28661.2,4217.6,14.066666666666666,2024-12-30
2 banger,30,68400.0,80481.0,14.5,2024-07-11
28 single rifle case,3,93839.0,10573.0,18.5,2024-07-19
3-in-1 parka 2.0,5,403316.0,260784.0,20.0,2024-09-19
36 double rifle case,1,215386.0,23845.0,20.0,2024-02-19
36 single rifle case,5,101186.0,14502.5,17.0,2024-07-19
4-banger,1,78222.0,9369.0,21.0,2024-01-26
4-in-1 patrol jacket 2.0,50,396209.5,474562.75,19.0,2024-08-26
42 single rifle case,2,113948.0,13066.0,17.0,2024-07-19
5-in-1 jacket 2.0,55,331724.0,972242.0,20.0,2024-02-19
5.11 a/t 6,336,181629.57894736843,100910.86842105263,16.94736842105263,2024-09-05
5.11 a/t 6 sz,1275,195895.1875,763652.125,14.875,2024-12-30
5.11 a/t 8,20,229289.0,129353.0,19.0,2024-08-26
5.11 a/t mid,1471,171229.97222222222,212169.08333333334,14.98611111111111,2024-09-05
5.11 balaclava,55,31767.0,59441.0,14.0,2024-10-14
5.11 boonie hat,14,49248.0,8138.4,15.0,2024-12-30
5.11 boonie hat multicam,24,58808.375,13849.125,14.875,2024-12-30
5.11 hooded ls tee,12,42317.0,5451.0,19.0,2024-03-04
5.11 scope patch,20,7789.0,1599.0,19.0,2024-03-04
5.11 scope s/s tee,33,37752.0,9691.75,14.0,2024-12-30
5.11 valiant duty jacket,26,109275.0,173926.2,20.8,2024-02-19
6.6 med pouch,8,51062.0,16572.0,18.0,2024-11-15
abr island-nade ss tee,6,26606.0,4416.0,17.0,2024-06-07
abr pro pant,1360,65815.13333333333,61519.42857142857,17.19047619047619,2024-12-21
adventure primaloft vest,22,105523.375,16424.0,15.5,2024-11-27
akimbo,10,409832.0,418397.0,15.0,2024-11-27
alpha neck gaiter,10,24411.0,19349.0,17.0,2024-03-11
als/bls duffel,1,295228.0,32684.0,20.0,2024-02-19
alta belt,11,60843.0,18100.333333333332,18.0,2024-11-15
amphibian immersion suit for pro blck/or,7,3434655.0,199325.0,10.0,2024-12-26
apex pant,673,96478.61688311688,29034.74025974026,16.928571428571427,2024-11-21
aramis camo short,4,46251.0,433.0,17.0,2024-04-05
atac 2.0 6 sz desert,51,162872.81818181818,56341.09090909091,19.0,2024-08-26
atac 2.0 8,3109,169985.6551724138,1839343.8275862068,19.75862068965517,2024-12-18
atac 2.0 8 arid,6,146374.0,72681.0,19.0,2024-03-04
atac 2.0 8 desert,24,185165.66666666666,73457.0,13.333333333333334,2024-09-19
atac 2.0 8 storm,217,204817.70588235295,166731.17647058822,17.88235294117647,2024-12-30
axolotl patch,25,10203.0,26156.0,19.0,2024-08-26
base 2bk utility folder,12,20977.0,21589.0,17.0,2024-03-11
base 3dp,22,32899.5,11729.5,19.0,2024-11-21
basic patrol bag,429,80467.0,1735203.0,19.5,2024-11-15
"battery, sl-b26 usb 2",12,37063.0,85236.0,9.0,2024-02-02
battle rations s/s tee,12,36717.0,10283.0,14.0,2024-12-30
beretta 92fs iwb kydex holster (optic ready),6,56209.0,73418.0,9.0,2024-02-02
beretta 92fs owb kydex paddle holster,6,62461.0,81585.0,9.0,2024-02-02
big horn jacket,7788,111085.91129032258,445624.5483870968,14.838709677419354,2024-12-21
bike patrol pant,122,142769.88888888888,48295.0,15.333333333333334,2024-12-30
bike patrol polo s/s,52,57517.666666666664,32902.0,16.0,2024-05-25
"black / ambidextrous (no sweatguard) / optic/rmr cut - sku: sfahellcatpro-
bk-tuck-rmr",10,56859.0,5068.0,17.0,2024-08-02
"black / ambidextrous (no sweatguard) / standard cut - sku: ssrp320fs-
bk-tuck",8,56859.0,40544.0,17.0,2024-08-02
"black / ambidextrous (no sweatguard) / xd 3"" subcompact - sku:
sfa-xd3sub-bk-tuck",10,56859.0,5068.0,17.0,2024-08-02
"black / ambidextrous (no sweatguard) / xd 4"" full size service
model - sku: sfa-xd40fs-bk-tuck",10,56859.0,5068.0,17.0,2024-08-02
"black / right hand / optic cut - 
sku: glk-192332-bk-rh-var-rmr 15",15,4037.0,5397.0,17.0,2024-08-02
braxton jacket,25,189879.25,22303.75,15.083333333333334,2024-11-15
calacuerno patch,25,9339.0,26156.0,19.0,2024-08-26
calacuerno tee,18,32344.0,10614.4,19.0,2024-08-26
calceti bota d combat ts azul osc,2100,5902.0,683814.6666666666,7.0,2024-10-03
calcetin bota combate t.s. azul t. 9-,1445,5772.5,729320.5,7.0,2024-10-03
calcetin bota d combate ts beige t,103,5772.5,51999.5,7.0,2024-10-03
calcetin bota de combat ts negro,776,5772.5,390906.0,7.0,2024-10-03
calcetin bota de combate t.s beige,60,6161.0,60805.0,7.0,2024-10-03
calcetin bsport t.s. blanco t. 10-12,130,5384.0,115117.0,7.0,2024-10-03
calcetin bsport t.s. blanco t. 9-11,130,5384.0,115117.0,7.0,2024-10-03
calcetin bsport t.s. gris medio t. 10-,130,5384.0,115117.0,7.0,2024-10-03
calcetin bsport t.s. negro t. 10-12,130,5384.0,115117.0,7.0,2024-10-03
calcetin bsport t.s. negro t. 9-11,130,5384.0,115117.0,7.0,2024-10-03
calcetin de combate t.s. beige t. 9-11,108,5772.5,54213.0,7.0,2024-10-03
calcetin de combate t.s. negro t. 10-,2950,5772.5,1491602.0,7.0,2024-10-03
calcetin de combate t.s. negro t. 9-,3340,5772.5,1683464.0,7.0,2024-10-03
calcetin talonera gris t. 9-11,130,5384.0,115117.0,7.0,2024-10-03
camo crest s/s tee,24,36717.0,10283.0,14.0,2024-12-30
"capto, 11mm, cmc",5,472142.0,208933.0,17.0,2024-07-11
"carabiner, ps auto red, cmc",10,65121.0,57635.0,17.0,2024-07-11
"carabiner, ps lock brt, cmc",10,58018.0,51348.0,17.0,2024-07-11
celia s/s shirt,147,52300.2,114095.4,20.4,2024-12-21
cfk 4,10,76953.0,78724.0,18.0,2024-03-22
cfk 7 peacemaker,10,132202.0,113378.0,17.0,2024-03-11
chameleon softshell 2.0,53,137195.2105263158,30533.36842105263,16.842105263157894,2024-11-15
cheve clara patch,25,9339.0,26156.0,19.0,2024-08-26
chipote keychain,24,8781.0,3586.0,17.0,2024-08-26
cl a fast-tac twill l/s,544,69293.25,189866.375,14.75,2024-10-18
cl a fast-tac twl l/s-tl,13,79750.4,11686.8,13.4,2024-10-18
cl a fast-tac twl pnt,1228,45724.77777777778,351528.55555555556,16.77777777777778,2024-11-27
cl a fast-tac twl pnt lg,3,74736.0,5703.0,17.0,2024-10-18
"clutch, 11mm, cmc",4,1117582.0,395643.0,17.0,2024-07-11
company 3.0 carbon tac,1,204869.0,12358.0,14.0,2024-08-05
company pant 2.0,397,86224.6,190220.2,19.1,2024-06-13
company pant 2.0-lg,6,99157.0,15798.0,21.0,2024-04-29
competition shtg glv 2.0,121,37525.666666666664,78375.16666666667,18.833333333333332,2024-12-30
covrt18 2.0,2,161351.0,18501.0,17.0,2024-07-19
crossed axe mountain tee,11,23144.666666666668,4677.666666666667,17.0,2024-07-19
daily deploy push pack,105,57160.5,128514.75,16.75,2024-11-15
defender-flex jean strt,22,57382.625,13324.875,16.625,2024-04-29
desert-locust-blk 1l-clr,3,59947.0,1603.0,17.0,2024-08-02
desert-locust-blk 1l-smk,2,59947.0,10687.0,17.0,2024-08-02
division digital,7,106502.0,30352.0,14.0,2024-08-30
dm talon fixed,6,92469.0,47676.0,12.0,2024-04-30
doohickey clipkey key tool black,16,4969.0,6819.0,17.0,2024-03-11
double duty tdu belt 1.75,123,33894.125,34974.375,13.5,2024-11-15
double pistol case,4,53517.0,17368.0,18.0,2024-11-15
dredger 7in short,8,55675.0,5267.0,18.0,2024-03-22
duty softshell jacket,31,183557.0,60346.2,24.0,2024-12-21
edt rescue,15,14645.0,1884.0,17.0,2024-03-11
ellis s/s shirt,11,73844.6,12383.8,17.4,2024-11-06
enduro pro usb ind,6,87661.0,30216.0,26.0,2024-12-21
eum id patch,25,9011.0,12431.0,15.0,2024-06-13
evo 2.0 8 wp sz,180,166847.0,169093.1,12.0,2024-05-25
evo 8 wp cst en/as nzs,130,214457.0,178345.375,17.0,2024-07-19
exo.e external elbow pad,207,23023.5,132072.0,14.75,2024-11-15
exo.k external knee pad,288,33021.5,215930.75,14.5,2024-11-15
fast tac 6,1704,113525.03225806452,291672.2580645161,17.35483870967742,2024-08-02
fast tac 8,803,134786.84210526315,410538.15789473685,14.68421052631579,2024-11-13
fast tac vest,214,93101.83333333333,37770.26190476191,19.285714285714285,2024-11-21
fast-tac 12 backpack,4,9754.0,22368.0,17.0,2024-07-19
fast-tac cargo pant,1933,72402.82644628099,81574.61983471074,15.338842975206612,2024-11-21
fast-tac cargo pant lg,1,80714.0,6422.0,12.0,2024-04-30
fast-tac l/s shirt,4494,51367.49635036496,120203.48175182482,15.737226277372264,2024-12-30
fast-tac l/s shirt - tal,7,54925.6,5675.8,14.4,2024-05-25
fast-tac s/s shirt,2474,35981.65517241379,122190.60344827586,16.275862068965516,2024-11-15
fast-tac s/s shirt- tal,1,6856.0,5446.0,12.0,2024-04-30
fast-tac tdu pant,2973,53562.36486486487,142616.16216216216,17.027027027027028,2024-12-30
fast-tac tdu pant lg,37,27930.9,15687.5,16.7,2024-12-21
fast-tac tdu shirt,5661,47878.416666666664,452798.22222222225,17.25,2024-12-21
