normalized_description,total_units_sold,total_income,total_cost,total_margin,avg_ticket_price,sale_frequency_days
1.5in low pro tdu belt black l,2,1189.66,728.446388,461.2136120000001,594.83,0
1.5in low pro tdu belt black m,4,2189.66,1388.271332,801.388668,547.415,0
1.5in low pro tdu belt kangaroo m,2,1189.66,663.988522,525.6714780000001,594.83,0
2 banger double tap 1 sz,4,5482.72,3173.992904,2308.727096,1370.68,0
2 banger double tap 1sz,28,38379.32000000001,22217.950328000003,16161.369672,1370.69,3
28 single rifle case black 1sz,2,3568.96,1859.634766,1709.3252340000001,1784.48,1
3 pack pt ankle sock black l,2,775.86,387.923398,387.936602,387.93,0
3 pack pt ankle sock white l,2,775.86,387.923398,387.936602,387.93,0
5.11 a/t 6 dark coyote 10 r,2,6000.0,4332.81261,1667.18739,3000.0,1
5.11 a/t 6 dark coyote 7 r,2,7500.0,3806.015392,3693.984608,3750.0,1
5.11 a/t 6 dark coyote 7.5 r,2,7500.0,3624.738148,3875.261852,3750.0,1
5.11 a/t 6 sz black 5 r,31,123664.58,72324.46806,51340.11194,3989.18,1
5.11 a/t 6 sz black 6 r,79,315145.22,176556.764171,138588.455829,3989.18,1
5.11 a/t 6 szâ  black 11 r,2,5692.92,3827.251134,1865.668866,2846.46,0
5.11 a/t 6 szâ  black 5 r,2,7978.36,4773.848772,3204.5112279999994,3989.18,0
5.11 a/t 6 szâ  black 8 r,4,14793.08,7176.142508,7616.937492,3698.27,0
5.11 a/t 6 szâ  black 9 r,2,7396.54,3831.374984,3565.165016,3698.27,0
5.11 a/t 8 black 11 r,2,7724.12,4499.868312,3224.2516880000003,3862.06,0
5.11 a/t 8 black 6 r,4,15448.24,8999.736624,6448.503376000001,3862.06,2
5.11 a/t 8 dark coyote 10 r,68,45770.09,32442.664916,13327.425084,2806.2775,1
5.11 a/t 8 dark coyote 10.5 r,43,23626.350000000002,16063.304116,7563.045884000003,549.45,0
