normalized_description,Existencias,coverage_days,low_stock_flag,stock_rotation
choclo 325 charol atack negro 27,0,0.0,1,
choclo 325 charol atack negro 22,0,0.0,1,
choclo 325 charol atack negro 22.5,0,0.0,1,
choclo 325 charol atack negro 23,0,0.0,1,
choclo 325 charol atack negro 24,0,0.0,1,
choclo 325 charol atack negro 24.5,0,0.0,1,
choclo 325 charol atack negro 25,0,0.0,1,
choclo 325 charol atack negro 25.5,0,0.0,1,
choclo 325 charol atack negro 26,0,0.0,1,
choclo 325 charol atack negro 26.5,0,0.0,1,
choclo 325 charol atack negro 27.5,0,0.0,1,
choclo 325 charol atack negro 28,0,0.0,1,
choclo 325 charol atack negro 28.5,0,0.0,1,
choclo 325 charol atack negro 29,0,0.0,1,
choclo 325 charol atack negro 30,0,0.0,1,
choclo 325 charol atack negro 31,0,0.0,1,
calzado de seguridad charol negro,3,0.6,1,
bota duty gear 1583 coyote,2,0.4,1,
bota duty gear negra,2,0.4,1,
bota duty gear 1583 negra,7,1.4,1,
bota duty gear 4863 negro 26,0,0.0,1,
tenis caballero cuero color blanco,0,0.0,1,
3 pack pt ankle sock black l,6,1.2,1,
3 pack pt ankle sock white l,6,1.2,1,
atac 8'' boot w/sd zip black 10 r,1,0.2,1,
"atac 8"" side zip coyote 7 r sp",0,0.0,1,
"baston retractil fury 26""",2,0.4,1,
speed 3.0 urban black 10 r,2,0.4,1,
speed 3.0 urban black 10 w,23,4.6,1,
speed 3.0 urban black 10.5 r,0,0.0,1,
speed 3.0 urban black 11 w,1,0.2,1,
speed 3.0 urban black 11.5 r,1,0.2,1,
speed 3.0 urban black 5 r,1,0.2,1,
speed 3.0 urban black 8 r,0,0.0,1,
speed 3.0 urban black 9 r,1,0.2,1,
speed 3.0 desert coyote 8 r,0,0.0,1,
speed 3.0 desert coyote 9 r,0,0.0,1,
speed 3.0 jungle rds black 10 r,0,0.0,1,
pursuit oxford black 6.5 r,0,0.0,1,
speed 3.0 5'' black 11 w,1,0.2,1,
speed 3.0 5'' black 11.5 r,0,0.0,1,
