normalized_description,pred_cantidad,pred_dias
pt-r charge l/s 2.0,0.31914997,183.19221
protac hl-x usb box,290.09174,192.02129
taclite uniform cap tdu green 1 sz,0.52719396,192.02213
taclite pro l/s shirt tdu khaki m,0.98814356,192.03622
"wedge, blk",0.56194156,192.04395
taclite pro l/s shirt tdu khaki m,0.98814356,192.08032
protac 2l-x usb box,46.250263,192.10747
wm tclt pdu s/s b-cl shrt midnight nvy x,38.517426,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy x,38.517426,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy x,38.517426,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy x,38.517426,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy s,32.30533,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy s,32.30533,212.00006
wm tclt pdu s/s b-cl shrt midnight nvy m,30.032106,212.00006
5.11 a/t 6 szâ  black 11 r,0.39640823,212.00006
5.11 a/t 6 szâ  black 5 r,0.39640823,212.00006
5.11 a/t 6 szâ  black 8 r,0.78996116,212.00006
5.11 a/t 6 szâ  black 9 r,0.39640823,212.00006
5.11 a/t 8 black 11 r,0.39640823,212.00006
5.11 a/t 8 black 6 r,0.78996116,212.00006
5.11 a/t 8 dark coyote 10 r,13.458241,212.00006
5.11 a/t 8 dark coyote 10.5 r,8.497003,212.00006
you can brew it patch brown 1 sz,0.39640823,212.00006
wyatt print s/s shirt blue agave knife 2,0.39640823,212.00006
wm tclt pdu a-class pant midnight nvy 8,30.610746,212.00006
wm tclt pdu a-class pant midnight nvy 8,30.592457,212.00006
wm tclt pdu l/s b-cl shrt mid navy s r,32.399967,212.00006
wm tclt pdu l/s b-cl shrt mid navy s r,32.399967,212.00006
wm tclt pdu l/s b-cl shrt midn nvy m r,0.20677088,212.00006
wm tclt pdu l/s b-cl shrt midn nvy m r,0.20677088,212.00006
wm tclt pdu l/s b-cl shrt midn nvy xs r,9.480862,212.00006
wm tclt pdu l/s b-cl shrt midn nvy xs r,9.480862,212.00006
wm tclt pdu l/s b-cl shrt midnight navy,30.941103,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy l,12.645992,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy l,12.645992,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy x,30.032106,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy x,30.034203,212.00006
wm tclt pdu l/s b-cl shrt midnight nvy x,30.032106,212.00006
zero quit ruck s/s tee military grn l,0.39640823,212.00006
5.11 a/t 8 dark coyote 7 r,3.1609528,212.00006
5.11 a/t 8 dark coyote 7 r,3.1609528,212.00006
5.11 a/t 8 dark coyote 7.5 r,0.59231013,212.00006
5.11 a/t 8 dark coyote 8 r,2.7677722,212.00006
5.11 a/t 8 dark coyote 8.5 r,4.5593657,212.00006
5.11 a/t 8 dark coyote 8.5 r,4.5593657,212.00006
5.11 a/t 8 dark coyote 9 r,2.1606457,212.00006
5.11 a/t 8 dark coyote 9.5 r,1.1847556,212.00006
5.11 a/t 8 dark coyote 9.5 r,1.1847556,212.00006
5.11 a/t 8 sz black 11 r,0.39640823,212.00006
5.11 a/t 8 sz black 6 r,0.39640823,212.00006
5.11 a/t 8 sz black 6 r,0.39640823,212.00006
5.11 a/t 8 sz black 9 r,0.39640823,212.00006
5.11 a/t 8 sz black 9 r,0.39640823,212.00006
5.11 a/t 8 sz black 9.5 r,0.39640823,212.00006
5.11 a/t mid black 10 r,0.39640823,212.00006
5.11 a/t mid black 8 r,0.39640823,212.00006
5.11 a/t mid black 9 r,1.5797422,212.00006
5.11 a/t trainer black 10 r,0.20677088,212.00006
5.11 a/t trainer black 7.5 r,0.20677088,212.00006
5.11 a/t trainer black 7.5 r,0.20677088,212.00006
5.11 boonie hat black l/xl,0.39640823,212.00006
5.11 boonie hat multi blk multi l/xl,0.39640823,212.00006
5.11 boonie hat multicam blk multicam s/,0.39640823,212.00006
5.11 boonie hat tdu khaki s/m,1.1847556,212.00006
5.11 boonie hat tdu khaki s/m,1.1847556,212.00006
5.11 hooded ls tee l,0.39640823,212.00006
5.11 safe 3.4 n bdge wlet black 1 sz,0.39640823,212.00006
5.11 scope hoodie heather grey l,0.39640823,212.00006
5.11 scope hoodie ranger green xl,0.39640823,212.00006
5.11 scope patch black 1 sz,0.39640823,212.00006
5.11 scope patch black 1 sz,0.39640823,212.00006
5.11 scope patch black 1sz,0.78996116,212.00006
5.11 scope s/s tee black l,0.39640823,212.00006
5.11 scope s/s tee pacific navy l,0.39640823,212.00006
5.11 scope s/s tee pacific navy xl,0.39640823,212.00006
5.11 scope s/s tee pacific navy xl,0.39640823,212.00006
5.11 tomcat flag patch multi 1sz,0.39640823,212.00006
6.6 med pouch black 1 sz,0.39640823,212.00006
6.6 med pouch black 1sz,0.39640823,212.00006
80s shall we play patch multi 1sz,0.78996116,212.00006
abr island-nade ss tee black s,0.39640823,212.00006
abr plate carrier black 1 sz,0.39640823,212.00006
abr plate carrier black 1 sz,0.39640823,212.00006
abr pro pant black 32 32,0.39640823,212.00006
abr pro pant black 34 32,0.78996116,212.00006
abr pro pant black 36 32,0.78996116,212.00006
abr pro pant dark navy 30 30,0.39640823,212.00006
abr pro pant dark navy 30 32,0.39640823,212.00006
abr pro pant dark navy 30 32,0.39640823,212.00006
abr pro pant dark navy 32 32,0.78996116,212.00006
abr pro pant dark navy 32 32,0.78996116,212.00006
abr pro pant dark navy 34 32,1.1847556,212.00006
abr pro pant dark navy 34 32,1.1847556,212.00006
abr pro pant dark navy 36 32,0.78996116,212.00006
abr pro pant dark navy 36 32,0.78996116,212.00006
abr pro pant kangaroo 32 30,0.39640823,212.00006
abr pro pant kangaroo 32 32,0.39640823,212.00006
abr pro pant kangaroo 32 32,0.39640823,212.00006
abr pro pant kangaroo 36 32,0.78996116,212.00006
abr pro pant kangaroo 36 32,0.78996116,212.00006
abr pro pant khaki 32 30,0.39640823,212.00006
abr pro pant khaki 32 30,0.39640823,212.00006
abr pro pant khaki 32 32,0.20677088,212.00006
abr pro pant khaki 34 32,0.39640823,212.00006
abr pro pant khaki 34 32,0.39640823,212.00006
abr pro pant khaki 36 32,0.39640823,212.00006
abr pro pant ranger green 32 32,0.59231013,212.00006
abr pro pant ranger green 32 32,0.59231013,212.00006
abr pro pant ranger green 34 32,0.39640823,212.00006
abr pro pant ranger green 34 32,0.39640823,212.00006
abr pro pant ranger green 36 32,0.39640823,212.00006
abr pro pant ranger green 36 32,0.39640823,212.00006
adelita gnome patch green 1 sz,0.39640823,212.00006
adelita gnome patch green 1 sz,0.39640823,212.00006
adventure primaloft vest pecan l,0.39640823,212.00006
adventure primaloft vest pecan l,0.39640823,212.00006
adventure primaloft vest pecan m,0.39640823,212.00006
alpha acorn ss tee,0.39640823,212.00006
alta belt black xl,0.78996116,212.00006
alta belt coyote m,0.39640823,212.00006
always be thankful patch khaki 1sz,1.9701846,212.00006
always ready s/s tee heather grey l,0.78996116,212.00006
america beautiful ss tee black m,0.39640823,212.00006
american flag stix patch khaki 1sz,0.39640823,212.00006
apex pant battle brown 34 32,0.39640823,212.00006
apex pant battle brown 36 32,0.78996116,212.00006
apex pant battle brown 38 32,0.78996116,212.00006
apex pant battle brown 38 32,0.78996116,212.00006
apex pant black 30 30,0.39640823,212.00006
apex pant black 32 30,0.39640823,212.00006
apex pant black 32 32,0.39640823,212.00006
apex pant black 32 32,0.39640823,212.00006
apex pant black 34 32,0.39640823,212.00006
apex pant burnt 30 30,0.39640823,212.00006
apex pant burnt 30 32,0.39640823,212.00006
apex pant burnt 32 30,0.78996116,212.00006
apex pant burnt 32 32,0.39640823,212.00006
